Ranking_Type,Rank,Split_ID,Test_cases,B12 Acc,B12 Macro-F1,B12 Balanced-Acc,B12 M-F1,B12 M-Rec,B12 E-Rec,B12 L-Rec,B12 Smooth,B12 Predicted_class_count,B11 Macro-F1,B11 M-F1,B10 Macro-F1,B12-B11 Macro-F1,B12-B11 M-F1,B12_select_score
Top10_B12_BalancedAcc,3,CAND087,"3,5,10,12",0.594594595,0.622009804,0.663888889,0.48,0.666666667,0.875,0.45,0.13018916,3,0.595216875,0.416666667,0.43339117,0.026792929000000076,0.06333333299999999,0.4900380758
Top10_B12_BalancedAcc,4,CAND010,"2,3,6,10",0.5625,0.541666667,0.658730159,0.625,0.476190476,1.0,0.5,0.034991011,3,0.5,0.5,0.438095238,0.04166666699999999,0.125,0.49531579861999997
Top10_B12_BalancedAcc,5,CAND111,"8,12,13,16",0.666666667,0.595555556,0.601641414,0.666666667,0.909090909,0.333333333,0.5625,0.066956688,3,0.580996169,0.689655172,0.465148378,0.014559387000000035,-0.022988505000000048,0.32216436370999996
Top10_B12_BalancedAcc,6,CAND186,"3,4,7,9",0.461538462,0.478395062,0.574074074,0.25,0.222222222,1.0,0.5,0.024119966,3,0.438095238,0.142857143,0.341666667,0.040299823999999984,0.10714285700000001,0.36207833927
Top10_B12_BalancedAcc,7,CAND078,"2,3,7,15",0.571428571,0.53453997,0.564814815,0.588235294,0.555555556,0.888888889,0.25,0.175340217,3,0.506242985,0.5625,0.488095238,0.028296984999999997,0.025735293999999964,0.43347496649000006
Top10_B12_BalancedAcc,8,CAND094,"3,4,10,14",0.46875,0.476259489,0.564814815,0.347826087,0.444444444,1.0,0.25,0.17482616,3,0.539264829,0.380952381,0.227128427,-0.06300533999999997,-0.033126294,-0.04294859575000004
Top10_B12_BalancedAcc,9,CAND198,"3,6,9,12",0.5,0.439996785,0.527777778,0.545454545,0.6,0.9,0.083333333,0.103264552,3,0.512670565,0.555555556,0.408730159,-0.07267377999999997,-0.010101010999999938,-0.31528217001
Top10_B12_BalancedAcc,10,CAND124,"2,3,4,7",0.485714286,0.445000288,0.523504274,0.454545455,0.416666667,1.0,0.153846154,0.110173697,3,0.470609319,0.266666667,0.526002506,-0.025609031000000004,0.18787878799999996,0.16449134354
Top10_B12_MF1,1,CAND017,"3,12,15,16",0.705882353,0.687301587,0.735247209,0.761904762,0.842105263,1.0,0.363636364,0.183372605,3,0.701851852,0.75,0.417924657,-0.014550265000000007,0.011904762000000013,0.37775538335
Top10_B12_MF1,2,CAND111,"8,12,13,16",0.666666667,0.595555556,0.601641414,0.666666667,0.909090909,0.333333333,0.5625,0.066956688,3,0.580996169,0.689655172,0.465148378,0.014559387000000035,-0.022988505000000048,0.32216436370999996
Top10_B12_MF1,3,CAND010,"2,3,6,10",0.5625,0.541666667,0.658730159,0.625,0.476190476,1.0,0.5,0.034991011,3,0.5,0.5,0.438095238,0.04166666699999999,0.125,0.49531579861999997
Top10_B12_MF1,4,CAND078,"2,3,7,15",0.571428571,0.53453997,0.564814815,0.588235294,0.555555556,0.888888889,0.25,0.175340217,3,0.506242985,0.5625,0.488095238,0.028296984999999997,0.025735293999999964,0.43347496649000006
Top10_B12_MF1,5,CAND103,"2,6,11,15",0.375,0.385095034,0.421855922,0.588235294,0.714285714,0.384615385,0.166666667,0.113462988,3,0.359064327,0.533333333,0.483088599,0.026030706999999986,0.054901961,0.38135683415999994
Top10_B12_MF1,6,CAND198,"3,6,9,12",0.5,0.439996785,0.527777778,0.545454545,0.6,0.9,0.083333333,0.103264552,3,0.512670565,0.555555556,0.408730159,-0.07267377999999997,-0.010101010999999938,-0.31528217001
Top10_B12_MF1,7,CAND207,"5,9,11",0.46875,0.355618777,0.388888889,0.540540541,0.666666667,0.0,0.5,0.279158772,3,0.355618777,0.540540541,0.398095238,0.0,0.0,0.01912454519000001
Top10_B12_MF1,8,CAND235,"2,8,9,10",0.703703704,0.645464305,0.696078431,0.5,0.5,1.0,0.588235294,0.14511976317209008,3,0.645464305,0.5,0.376068376,0.0,0.0,0.49779571079623275
Top10_B12_MF1,9,CAND087,"3,5,10,12",0.594594595,0.622009804,0.663888889,0.48,0.666666667,0.875,0.45,0.13018916,3,0.595216875,0.416666667,0.43339117,0.026792929000000076,0.06333333299999999,0.4900380758
Top10_B12_MF1,10,CAND124,"2,3,4,7",0.485714286,0.445000288,0.523504274,0.454545455,0.416666667,1.0,0.153846154,0.110173697,3,0.470609319,0.266666667,0.526002506,-0.025609031000000004,0.18787878799999996,0.16449134354
Top10_B12_MRec,1,CAND111,"8,12,13,16",0.666666667,0.595555556,0.601641414,0.666666667,0.909090909,0.333333333,0.5625,0.066956688,3,0.580996169,0.689655172,0.465148378,0.014559387000000035,-0.022988505000000048,0.32216436370999996
Top10_B12_MRec,2,CAND017,"3,12,15,16",0.705882353,0.687301587,0.735247209,0.761904762,0.842105263,1.0,0.363636364,0.183372605,3,0.701851852,0.75,0.417924657,-0.014550265000000007,0.011904762000000013,0.37775538335
Top10_B12_MRec,3,CAND103,"2,6,11,15",0.375,0.385095034,0.421855922,0.588235294,0.714285714,0.384615385,0.166666667,0.113462988,3,0.359064327,0.533333333,0.483088599,0.026030706999999986,0.054901961,0.38135683415999994
Top10_B12_MRec,4,CAND087,"3,5,10,12",0.594594595,0.622009804,0.663888889,0.48,0.666666667,0.875,0.45,0.13018916,3,0.595216875,0.416666667,0.43339117,0.026792929000000076,0.06333333299999999,0.4900380758
Top10_B12_MRec,5,CAND207,"5,9,11",0.46875,0.355618777,0.388888889,0.540540541,0.666666667,0.0,0.5,0.279158772,3,0.355618777,0.540540541,0.398095238,0.0,0.0,0.01912454519000001
Top10_B12_MRec,6,CAND198,"3,6,9,12",0.5,0.439996785,0.527777778,0.545454545,0.6,0.9,0.083333333,0.103264552,3,0.512670565,0.555555556,0.408730159,-0.07267377999999997,-0.010101010999999938,-0.31528217001
Top10_B12_MRec,7,CAND078,"2,3,7,15",0.571428571,0.53453997,0.564814815,0.588235294,0.555555556,0.888888889,0.25,0.175340217,3,0.506242985,0.5625,0.488095238,0.028296984999999997,0.025735293999999964,0.43347496649000006
Top10_B12_MRec,8,CAND235,"2,8,9,10",0.703703704,0.645464305,0.696078431,0.5,0.5,1.0,0.588235294,0.14511976317209008,3,0.645464305,0.5,0.376068376,0.0,0.0,0.49779571079623275
Top10_B12_MRec,9,CAND010,"2,3,6,10",0.5625,0.541666667,0.658730159,0.625,0.476190476,1.0,0.5,0.034991011,3,0.5,0.5,0.438095238,0.04166666699999999,0.125,0.49531579861999997
Top10_B12_MRec,10,CAND094,"3,4,10,14",0.46875,0.476259489,0.564814815,0.347826087,0.444444444,1.0,0.25,0.17482616,3,0.539264829,0.380952381,0.227128427,-0.06300533999999997,-0.033126294,-0.04294859575000004
Top10_B12_select_score,1,CAND235,"2,8,9,10",0.703703704,0.645464305,0.696078431,0.5,0.5,1.0,0.588235294,0.14511976317209008,3,0.645464305,0.5,0.376068376,0.0,0.0,0.49779571079623275
Top10_B12_select_score,2,CAND010,"2,3,6,10",0.5625,0.541666667,0.658730159,0.625,0.476190476,1.0,0.5,0.034991011,3,0.5,0.5,0.438095238,0.04166666699999999,0.125,0.49531579861999997
Top10_B12_select_score,3,CAND087,"3,5,10,12",0.594594595,0.622009804,0.663888889,0.48,0.666666667,0.875,0.45,0.13018916,3,0.595216875,0.416666667,0.43339117,0.026792929000000076,0.06333333299999999,0.4900380758
Top10_B12_select_score,4,CAND078,"2,3,7,15",0.571428571,0.53453997,0.564814815,0.588235294,0.555555556,0.888888889,0.25,0.175340217,3,0.506242985,0.5625,0.488095238,0.028296984999999997,0.025735293999999964,0.43347496649000006
Top10_B12_select_score,5,CAND103,"2,6,11,15",0.375,0.385095034,0.421855922,0.588235294,0.714285714,0.384615385,0.166666667,0.113462988,3,0.359064327,0.533333333,0.483088599,0.026030706999999986,0.054901961,0.38135683415999994
Top10_B12_select_score,6,CAND017,"3,12,15,16",0.705882353,0.687301587,0.735247209,0.761904762,0.842105263,1.0,0.363636364,0.183372605,3,0.701851852,0.75,0.417924657,-0.014550265000000007,0.011904762000000013,0.37775538335
Top10_B12_select_score,7,CAND186,"3,4,7,9",0.461538462,0.478395062,0.574074074,0.25,0.222222222,1.0,0.5,0.024119966,3,0.438095238,0.142857143,0.341666667,0.040299823999999984,0.10714285700000001,0.36207833927
