Method,Dataset,Task,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
B9_DC_PHSR,PHM2010,D1,3,0.9407894736842104,0.9441656531577672,0.9940828402366864,0.9274193548387096,0.9109947643979056,0.9663865546218487,0.8914728682170543,0.007751937984496,0.1007751937984488,1,0,0.0292260396947038,0.1560371605074853,0.1781928999283393,0.5571323023610817,
B9_DC_PHSR,PHM2010,D1,13,0.9111842105263158,0.9147128434743432,0.8795811518324608,0.8870292887029289,0.9775280898876404,0.9636363636363636,0.8217054263565892,0.1782945736434094,0.0,1,0,0.0201242113867576,0.1146782857020962,0.1395904098853999,0.7282282079501567,
B9_DC_PHSR,PHM2010,D1,23,0.9111842105263158,0.916356056366276,0.9824561403508772,0.8831168831168831,0.883495145631068,1.0,0.7906976744186046,0.0232558139534881,0.1860465116279055,1,0,0.0305652469699857,0.1587711164461755,0.1794035645230996,0.5510940637445398,
B9_DC_PHSR,PHM2010,D1,33,0.819078947368421,0.8190139325587844,0.835820895522388,0.729064039408867,0.8921568627450981,1.0,0.5736434108527132,0.2558139534883701,0.1705426356589134,1,0,0.0305453677652165,0.1371817118795086,0.1595130822789265,0.6451164840967416,
B9_DC_PHSR,PHM2010,D1,43,0.7993421052631579,0.8002661563249228,0.875,0.6995073891625616,0.8262910798122066,0.9594594594594594,0.5503875968992248,0.1860465116279055,0.2635658914728662,2,1,0.0327872264470321,0.1446566789848032,0.1726253535421053,0.5843743180867508,
B9_DC_PHSR,PHM2010,D1,53,0.9539473684210528,0.955264253017062,0.9438202247191012,0.9444444444444444,0.9775280898876404,0.967479674796748,0.9224806201550388,0.0775193798449606,0.0,0,0,0.0157447617321589,0.1137395933622677,0.1366855771243817,0.7394214910022163,
B9_DC_PHSR,PHM2010,D1,63,0.8092105263157895,0.8083448342189415,0.8442211055276382,0.71,0.8708133971291866,1.0,0.5503875968992248,0.240310077519378,0.2093023255813937,3,0,0.0332402106826716,0.1247524930875059,0.1542972449726693,0.6679453575768999,
B9_DC_PHSR,PHM2010,D1,73,0.819078947368421,0.8248821262218043,0.9438202247191012,0.729064039408867,0.801762114537445,1.0,0.5736434108527132,0.0775193798449606,0.3488372093023228,1,0,0.0281529314882095,0.1627146755563366,0.1888239661381103,0.5027126129850588,
B9_DC_PHSR,PHM2010,D1,83,0.7993421052631579,0.7977039316180137,0.8235294117647058,0.6903553299492385,0.8792270531400966,1.0,0.5271317829457365,0.2790697674418583,0.1937984496124016,1,0,0.0277497614505127,0.1495318927121296,0.1720803640061917,0.5869944904636741,
B9_DC_PHSR,PHM2010,D1,93,0.805921052631579,0.8048017867113345,0.8442211055276382,0.7035175879396985,0.8666666666666667,1.0,0.5426356589147286,0.240310077519378,0.2170542635658898,3,0,0.0331099833585016,0.1252181239701016,0.1509803569141921,0.6820680977561822,
B9_DC_PHSR,PHM2010,D2,3,0.805921052631579,0.8176994620079076,0.7567567567567568,0.7255813953488373,0.9707602339181286,0.9397590361445785,0.5909090909090909,0.409090909090906,0.0,0,0,0.0115138758835221,0.0884276170390714,0.1127780867507472,0.7271666741980992,0.9513716180974802
B9_DC_PHSR,PHM2010,D2,13,0.8256578947368421,0.8358777235118987,0.7887323943661971,0.7665198237885462,0.9523809523809524,0.9157894736842104,0.6590909090909091,0.3409090909090883,0.0,0,0,0.0098335684890589,0.0770182067295058,0.1051871704859336,0.7626585903557171,0.9371450894118548
B9_DC_PHSR,PHM2010,D2,23,0.7960526315789473,0.8083287520615724,0.75,0.7102803738317757,0.9647058823529412,0.926829268292683,0.5757575757575758,0.424242424242421,0.0,0,0,0.0102459592232628,0.3339747139061553,0.3600490607329207,-1.7808101272171064,-0.3626037013172708
