Method,Dataset,Task,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
B8_DP2Net,PHM2010,D3,3,0.8717105263157895,0.8745946686502307,0.8536585365853658,0.7868852459016393,0.9832402234636872,1.0,0.6486486486486487,0.3243243243243214,0.0270270270270267,6,0,0.0699608102440834,,,,
B8_DP2Net,PHM2010,D3,13,0.8421052631578947,0.8418222902890068,0.900523560209424,0.8222222222222222,0.8027210884353742,0.6981132075471698,1.0,0.0,0.0,1,0,0.0466276817023754,,,,
B8_DP2Net,PHM2010,D3,23,0.8256578947368421,0.818589314083682,0.7909090909090909,0.8936170212765957,0.7712418300653595,0.8467741935483871,0.945945945945946,0.0,0.0540540540540535,2,1,0.0478235036134719,,,,
B8_DP2Net,PHM2010,D3,33,0.8519736842105263,0.8543175962244737,0.7790697674418605,0.8221343873517787,0.9617486338797814,0.7323943661971831,0.9369369369369368,0.0,0.0630630630630625,1,0,0.0503810308873653,,,,
B8_DP2Net,PHM2010,D3,43,0.7302631578947368,0.7282489291791782,0.7843137254901961,0.7224669603524229,0.6779661016949152,0.7068965517241379,0.7387387387387387,0.0,0.2612612612612589,4,1,0.0662692263722419,,,,
B8_DP2Net,PHM2010,D3,53,0.8486842105263158,0.8394009881351653,0.9166666666666666,0.8547008547008547,0.7468354430379747,0.8130081300813008,0.9009009009009008,0.0,0.0990990990990982,3,1,0.0534214228391647,,,,
B8_DP2Net,PHM2010,D3,63,0.9210526315789472,0.9240430374508586,0.8888888888888888,0.9,0.9832402234636872,0.8372093023255814,0.972972972972973,0.0,0.0270270270270267,1,0,0.0362103953957557,,,,
B8_DP2Net,PHM2010,D3,73,0.7368421052631579,0.7410991353062965,0.7771428571428571,0.7132352941176471,0.7329192546583851,0.6024844720496895,0.8738738738738738,0.0,0.126126126126125,3,1,0.0460618920624256,,,,
B8_DP2Net,PHM2010,D3,83,0.8388157894736842,0.8403334169215132,0.9393939393939394,0.7860262008733624,0.7955801104972375,0.7627118644067796,0.8108108108108109,0.0,0.1891891891891875,2,0,0.0547999069094657,,,,
B8_DP2Net,PHM2010,D3,93,0.9605263157894736,0.9621926815323042,0.9545454545454546,0.9433962264150944,0.9886363636363636,0.99009900990099,0.9009009009009008,0.0900900900900892,0.0090090090090089,1,0,0.0320270955562591,,,,
