Split_type,Task,Seed,Strategy,theta_E,theta_L,theta_v,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Early_recall,Middle_recall,Late_recall,label_selection_score,train_present,val_present,vb_E,vb_L,vb_E_quantile,vb_L_quantile
case_split,CSP1,2026,A_q_global,0.25,0.6,0.75,centroid,0.5238095238095238,0.5136766034327009,0.5222222222222221,0.56,0.4444444444444444,0.5365853658536585,0.3888888888888889,0.4444444444444444,0.7333333333333333,0.4444444444444444,0.0,0.5555555555555556,0.05555555555555555,0.26666666666666666,8,5,0.8205128205128205,3,0.3888888888888889,0.4444444444444444,0.7333333333333333,0.49559891598915984,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.6,0.8,centroid,0.5,0.45968253968253975,0.482010582010582,0.56,0.28571428571428575,0.5333333333333333,0.3888888888888889,0.2,0.8571428571428571,0.5,0.0,0.8,0.0,0.14285714285714285,5,5,0.5641025641025641,3,0.3888888888888889,0.2,0.8571428571428571,0.4287924297924298,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.6,0.85,centroid,0.47619047619047616,0.38821705426356595,0.43915343915343913,0.56,0.0,0.6046511627906977,0.3888888888888889,0.0,0.9285714285714286,0.0,0.0,1.0,0.2777777777777778,0.07142857142857142,2,0,0.46153846153846156,3,0.3888888888888889,0.0,0.9285714285714286,0.3257058254267557,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.6,0.9,centroid,0.47619047619047616,0.37878787878787873,0.4444444444444444,0.5,0.0,0.6363636363636364,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,1,1,0.358974358974359,3,0.3333333333333333,0.0,1.0,0.329978354978355,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.65,0.75,centroid,0.5238095238095238,0.5136766034327009,0.5222222222222221,0.56,0.4444444444444444,0.5365853658536585,0.3888888888888889,0.4444444444444444,0.7333333333333333,0.4444444444444444,0.0,0.5555555555555556,0.05555555555555555,0.26666666666666666,8,5,0.8205128205128205,3,0.3888888888888889,0.4444444444444444,0.7333333333333333,0.49559891598915984,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.65,0.8,centroid,0.5,0.45968253968253975,0.482010582010582,0.56,0.28571428571428575,0.5333333333333333,0.3888888888888889,0.2,0.8571428571428571,0.5,0.0,0.8,0.0,0.14285714285714285,5,5,0.5641025641025641,3,0.3888888888888889,0.2,0.8571428571428571,0.4287924297924298,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.65,0.85,centroid,0.47619047619047616,0.38821705426356595,0.43915343915343913,0.56,0.0,0.6046511627906977,0.3888888888888889,0.0,0.9285714285714286,0.0,0.0,1.0,0.2777777777777778,0.07142857142857142,1,0,0.358974358974359,3,0.3888888888888889,0.0,0.9285714285714286,0.32945957918050944,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.65,0.9,centroid,0.4523809523809524,0.3941798941798942,0.43015873015873013,0.5,0.11111111111111112,0.5714285714285714,0.3333333333333333,0.1,0.8571428571428571,0.125,0.0,0.9,0.2777777777777778,0.14285714285714285,3,1,0.46153846153846156,3,0.3333333333333333,0.1,0.8571428571428571,0.36674136321195144,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.7,0.75,centroid,0.40476190476190477,0.39956487956487957,0.4703703703703703,0.56,0.48484848484848486,0.15384615384615383,0.3888888888888889,0.8888888888888888,0.13333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.16666666666666666,0.8666666666666667,6,5,0.6666666666666666,3,0.3888888888888889,0.8888888888888888,0.13333333333333333,0.4497770007770008,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.7,0.8,centroid,0.5,0.5061751152073732,0.5259000259000258,0.56,0.5714285714285714,0.3870967741935484,0.3888888888888889,0.7272727272727273,0.46153846153846156,0.47058823529411764,0.0,0.2727272727272727,0.1111111111111111,0.5384615384615384,10,5,1.0769230769230769,3,0.3888888888888889,0.7272727272727273,0.46153846153846156,0.5310998959538857,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.7,0.85,centroid,0.42857142857142855,0.3717948717948718,0.4259259259259259,0.6153846153846153,0.0,0.5,0.4444444444444444,0.0,0.8333333333333334,0.0,0.0,1.0,0.2222222222222222,0.16666666666666666,3,0,0.5641025641025641,3,0.4444444444444444,0.0,0.8333333333333334,0.32405372405372407,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.7,0.9,centroid,0.4523809523809524,0.3771428571428572,0.46296296296296297,0.56,0.0,0.5714285714285715,0.3888888888888889,0.0,1.0,0.0,0.0,1.0,0.2777777777777778,0.0,2,1,0.46153846153846156,3,0.3888888888888889,0.0,1.0,0.34067388167388174,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.75,0.75,centroid,0.40476190476190477,0.39956487956487957,0.4703703703703703,0.56,0.48484848484848486,0.15384615384615383,0.3888888888888889,0.8888888888888888,0.13333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.16666666666666666,0.8666666666666667,6,5,0.6666666666666666,3,0.3888888888888889,0.8888888888888888,0.13333333333333333,0.4497770007770008,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.75,0.8,centroid,0.5,0.5061751152073732,0.5259000259000258,0.56,0.5714285714285714,0.3870967741935484,0.3888888888888889,0.7272727272727273,0.46153846153846156,0.47058823529411764,0.0,0.2727272727272727,0.1111111111111111,0.5384615384615384,10,5,1.0769230769230769,3,0.3888888888888889,0.7272727272727273,0.46153846153846156,0.5310998959538857,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.75,0.85,centroid,0.42857142857142855,0.3717948717948718,0.4259259259259259,0.6153846153846153,0.0,0.5,0.4444444444444444,0.0,0.8333333333333334,0.0,0.0,1.0,0.2222222222222222,0.16666666666666666,3,0,0.5641025641025641,3,0.4444444444444444,0.0,0.8333333333333334,0.32405372405372407,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.75,0.9,centroid,0.4523809523809524,0.3771428571428572,0.46296296296296297,0.56,0.0,0.5714285714285715,0.3888888888888889,0.0,1.0,0.0,0.0,1.0,0.2777777777777778,0.0,2,1,0.46153846153846156,3,0.3888888888888889,0.0,1.0,0.34067388167388174,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.8,0.75,centroid,0.40476190476190477,0.39956487956487957,0.4703703703703703,0.56,0.48484848484848486,0.15384615384615383,0.3888888888888889,0.8888888888888888,0.13333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.16666666666666666,0.8666666666666667,6,5,0.6666666666666666,3,0.3888888888888889,0.8888888888888888,0.13333333333333333,0.4497770007770008,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.8,0.8,centroid,0.5,0.5061751152073732,0.5259000259000258,0.56,0.5714285714285714,0.3870967741935484,0.3888888888888889,0.7272727272727273,0.46153846153846156,0.47058823529411764,0.0,0.2727272727272727,0.1111111111111111,0.5384615384615384,10,5,1.0769230769230769,3,0.3888888888888889,0.7272727272727273,0.46153846153846156,0.5310998959538857,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.8,0.85,centroid,0.4523809523809524,0.4111560953666216,0.47681947681947684,0.6153846153846153,0.10526315789473684,0.5128205128205129,0.4444444444444444,0.07692307692307693,0.9090909090909091,0.16666666666666666,0.0,0.9230769230769231,0.2222222222222222,0.09090909090909091,3,0,0.5641025641025641,3,0.4444444444444444,0.07692307692307693,0.9090909090909091,0.3757160967687283,3,3,,,,
case_split,CSP1,2026,A_q_global,0.25,0.8,0.9,centroid,0.42857142857142855,0.36552845528455286,0.46296296296296297,0.56,0.0,0.5365853658536585,0.3888888888888889,0.0,1.0,0.0,0.0,1.0,0.2777777777777778,0.0,2,1,0.46153846153846156,3,0.3888888888888889,0.0,1.0,0.33544740083764474,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.6,0.75,centroid,0.47619047619047616,0.4761904761904763,0.5777777777777777,0.5714285714285715,0.5,0.3571428571428571,0.4,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2,0.6666666666666666,7,5,0.8205128205128205,3,0.4,1.0,0.3333333333333333,0.495952380952381,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.6,0.8,centroid,0.42857142857142855,0.40794499618029034,0.5142857142857142,0.5714285714285715,0.47058823529411764,0.18181818181818182,0.4,1.0,0.14285714285714285,0.3076923076923077,0.0,0.0,0.3,0.8571428571428571,7,4,0.7692307692307693,3,0.4,1.0,0.14285714285714285,0.4514420873244403,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.6,0.85,centroid,0.5,0.38989376973873097,0.45,0.5185185185185185,0.0,0.6511627906976745,0.35,0.0,1.0,0.0,0.0,1.0,0.3,0.0,0,0,0.3076923076923077,3,0.35,0.0,1.0,0.3226819261121587,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.6,0.9,centroid,0.47619047619047616,0.36125356125356123,0.43333333333333335,0.4615384615384615,0.0,0.6222222222222222,0.3,0.0,1.0,0.0,0.0,1.0,0.25,0.0,0,1,0.2564102564102564,3,0.3,0.0,1.0,0.31470695970695967,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.65,0.75,centroid,0.47619047619047616,0.4761904761904763,0.5777777777777777,0.5714285714285715,0.5,0.3571428571428571,0.4,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2,0.6666666666666666,7,5,0.8205128205128205,3,0.4,1.0,0.3333333333333333,0.495952380952381,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.65,0.8,centroid,0.42857142857142855,0.40794499618029034,0.5142857142857142,0.5714285714285715,0.47058823529411764,0.18181818181818182,0.4,1.0,0.14285714285714285,0.3076923076923077,0.0,0.0,0.3,0.8571428571428571,7,4,0.7692307692307693,3,0.4,1.0,0.14285714285714285,0.4514420873244403,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.65,0.85,centroid,0.42857142857142855,0.3561728395061728,0.37857142857142856,0.5185185185185185,0.0,0.55,0.35,0.0,0.7857142857142857,0.0,0.0,1.0,0.3,0.21428571428571427,3,0,0.6153846153846154,3,0.35,0.0,0.7857142857142857,0.3003968253968254,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.65,0.9,centroid,0.5,0.3802469135802469,0.45,0.5185185185185185,0.0,0.6222222222222222,0.35,0.0,1.0,0.0,0.0,1.0,0.2,0.0,0,1,0.2564102564102564,3,0.35,0.0,1.0,0.32861111111111113,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.7,0.75,centroid,0.35714285714285715,0.34203142536475867,0.47222222222222227,0.5185185185185185,0.42424242424242425,0.08333333333333334,0.35,1.0,0.06666666666666667,0.2692307692307692,0.0,0.0,0.25,0.9333333333333333,5,5,0.5641025641025641,3,0.35,1.0,0.06666666666666667,0.40388500388500387,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.7,0.8,centroid,0.42857142857142855,0.38772607193659825,0.4923076923076923,0.5714285714285715,0.4864864864864865,0.10526315789473684,0.4,1.0,0.07692307692307693,0.32142857142857145,0.0,0.0,0.35,0.9230769230769231,5,5,0.5641025641025641,3,0.4,1.0,0.07692307692307693,0.4462602973129289,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.7,0.85,centroid,0.4523809523809524,0.4523809523809524,0.47222222222222227,0.5714285714285715,0.42857142857142855,0.35714285714285715,0.4,0.6,0.4166666666666667,0.3333333333333333,0.0,0.4,0.25,0.5833333333333334,4,0,0.717948717948718,3,0.4,0.6,0.4166666666666667,0.46869047619047616,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.7,0.9,centroid,0.47619047619047616,0.380952380952381,0.4666666666666666,0.5714285714285715,0.0,0.5714285714285715,0.4,0.0,1.0,0.0,0.0,1.0,0.2,0.0,1,0,0.41025641025641024,3,0.4,0.0,1.0,0.3342857142857143,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.75,0.75,centroid,0.35714285714285715,0.34203142536475867,0.47222222222222227,0.5185185185185185,0.42424242424242425,0.08333333333333334,0.35,1.0,0.06666666666666667,0.2692307692307692,0.0,0.0,0.25,0.9333333333333333,5,5,0.5641025641025641,3,0.35,1.0,0.06666666666666667,0.40388500388500387,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.75,0.8,centroid,0.42857142857142855,0.38772607193659825,0.4923076923076923,0.5714285714285715,0.4864864864864865,0.10526315789473684,0.4,1.0,0.07692307692307693,0.32142857142857145,0.0,0.0,0.35,0.9230769230769231,5,5,0.5641025641025641,3,0.4,1.0,0.07692307692307693,0.4462602973129289,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.75,0.85,centroid,0.4523809523809524,0.4523809523809524,0.47222222222222227,0.5714285714285715,0.42857142857142855,0.35714285714285715,0.4,0.6,0.4166666666666667,0.3333333333333333,0.0,0.4,0.25,0.5833333333333334,4,0,0.717948717948718,3,0.4,0.6,0.4166666666666667,0.46869047619047616,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.75,0.9,centroid,0.47619047619047616,0.380952380952381,0.4666666666666666,0.5714285714285715,0.0,0.5714285714285715,0.4,0.0,1.0,0.0,0.0,1.0,0.2,0.0,1,0,0.41025641025641024,3,0.4,0.0,1.0,0.3342857142857143,3,3,,,,
case_split,CSP1,2026,A_q_global,0.3,0.8,0.75,centroid,0.35714285714285715,0.34203142536475867,0.47222222222222227,0.5185185185185185,0.42424242424242425,0.08333333333333334,0.35,1.0,0.06666666666666667,0.2692307692307692,0.0,0.0,0.25,0.9333333333333333,5,5,0.5641025641025641,3,0.35,1.0,0.06666666666666667,0.40388500388500387,3,3,,,,
